epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.62,1.83878,3.41435,1.16744,0.48082,0.22766,0.16101,0.08217,1.76431,1.93914,1.14607,0.000302185,0.000302185,0.000302185
2,324.965,1.72964,2.51232,1.15633,0.53698,0.26365,0.21008,0.10382,1.73898,1.66736,1.15665,0.000545272,0.000545272,0.000545272
3,456.57,1.72185,2.09266,1.15002,0.53079,0.26413,0.21686,0.11856,1.71625,1.65018,1.14935,0.000728365,0.000728365,0.000728365
4,573.515,1.6645,1.80577,1.12345,0.38868,0.2709,0.23164,0.12721,1.70237,1.57287,1.14956,0.000639027,0.000639027,0.000639027
5,690.973,1.62448,1.63211,1.1187,0.41674,0.32319,0.24683,0.1354,1.67675,1.48742,1.1205,0.000549036,0.000549036,0.000549036
6,806.705,1.62359,1.55049,1.11151,0.43274,0.28559,0.26305,0.14556,1.67117,1.52225,1.11759,0.000459045,0.000459045,0.000459045
7,925.332,1.57391,1.46803,1.08783,0.42741,0.32602,0.27256,0.1504,1.64853,1.43138,1.11114,0.000369054,0.000369054,0.000369054
8,1048.02,1.55424,1.36828,1.07907,0.48157,0.33227,0.2909,0.1641,1.61008,1.33108,1.09246,0.000279063,0.000279063,0.000279063
9,1180.87,1.51913,1.33447,1.06418,0.45541,0.34417,0.29962,0.17526,1.58112,1.33145,1.07933,0.000189072,0.000189072,0.000189072
10,1304.24,1.49629,1.29231,1.05469,0.46076,0.34276,0.31725,0.18496,1.55131,1.3008,1.07249,9.9081e-05,9.9081e-05,9.9081e-05
